baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EFA_00061	270.25166280122	-5.22859300179642	0.287508043801862	-18.1859016278506	6.67486341893632e-74	5.98860402367693e-72
EFA_00062	257.936565511126	-5.21108390461609	0.289467361824091	-18.0023194040883	1.86828443955224e-72	1.57760136057485e-70
EFA_00063	63.3542010357592	-4.29074456068437	0.425453452268507	-10.085109282358	6.42936016394479e-24	1.03700522644301e-22
EFA_00064	395.818932719915	-4.35248064354917	0.205225661044458	-21.2082671406588	8.01102160230962e-100	1.35292017766064e-97
EFA_00065	177.529734997887	-4.71769730485559	0.306300235407405	-15.4021994092844	1.58195765775597e-53	8.56943478380638e-52
EFA_00066	41.142718868648	-0.503321157356446	0.295449274772491	-1.70357892312995	0.088459781861395	0.159728323096896
EFA_00067	75.6372512328326	0.366933056852586	0.227605410552455	1.6121455810824	0.106930263940897	0.187450385955973
EFA_00068	70.0037791097228	0.260727764040411	0.23146794741554	1.12640979864198	0.259992101156568	0.389988151734852
EFA_00069	60.1936117824843	0.42374921780488	0.250823357825662	1.68943284021982	0.0911365120300687	0.164148636159553
EFA_00070	151.12363480532	0.291259631767808	0.186143410365055	1.56470557403351	0.117651960914533	0.202748367218261
EFA_00071	1940.79828139051	-0.571128119911929	0.186979206684709	-3.05450071180903	0.00225435479565853	0.00627156261466632
EFA_00072	340.98768225935	-1.07814749601692	0.170221644204385	-6.33378617070806	2.39216987175827e-10	1.6710266914399e-09
EFA_00073	269.844923335688	0.0937513022592694	0.155842442264607	0.601577470789941	0.547455429144299	0.67747609356607
EFA_00074	164.490343268218	4.23517236495632	0.251225204945538	16.858071091531	9.15276765754211e-64	6.56939898620085e-62
EFA_00075	31.9026684333318	2.40960148982705	0.36057545524943	6.68265533537273	2.34651018705348e-11	1.80129164359106e-10
EFA_00076	191.641112791195	-0.690959798880186	0.169389465843159	-4.0791190611579	4.5206681301035e-05	0.000174681537032667
EFA_00077	93.5303256526197	-0.957820268243977	0.224064249021754	-4.27475722890081	1.91345677071846e-05	7.74828545660466e-05
EFA_00078	54.6129905653618	0.256942286822447	0.297356781926579	0.864087528650646	0.387539809460795	0.531594263240298
EFA_00079	101.44599639964	0.213139717693684	0.213264966576032	0.999412707654899	0.317594806430085	0.455907344630388
EFA_00080	82.2078171631161	-0.496295291260293	0.21820723131734	-2.27442183407079	0.0229406359067452	0.0495207260814026
EFA_00081	110.754547375828	-1.01606688106963	0.20379667450145	-4.98568920987179	6.17413234268927e-07	3.03526266367481e-06
EFA_00082	24.1525089865836	-0.0327246111597915	0.361142190700822	-0.090614201282567	0.927799147365876	0.957852879569576
EFA_00083	77.6577059055675	-0.81735483012253	0.23412999507693	-3.49102997184947	0.000481162272469427	0.00157157779779263
EFA_00084	10.3854171000605	-0.0135690530859296	0.531477150227598	-0.0255308305919056	0.979631557241245	0.986849895031444
EFA_00085	42.6151179527463	0.39814901904608	0.29231075177657	1.36207449307376	0.173174377086662	0.276520376315799
EFA_00086	114.640992151688	0.0724381239635414	0.198396049546133	0.365118781998214	0.715022741324998	0.812416793125475
EFA_00087	92.2452728689056	1.23653090856578	0.220477754866092	5.60841573027082	2.04187076674514e-08	1.19881614955528e-07
EFA_00088	351.737557042213	0.807721061800923	0.145424838595191	5.5542166634224	2.78859427844548e-08	1.61412382528568e-07
EFA_00089	5.55426760456611	-1.44889022400508	0.81451771442028	-1.77883206019197	0.0752672993086731	0.139234804326804
EFA_00090	24.894829500744	-0.366645554883209	0.363360612609548	-1.00904044676188	0.312955236877439	0.450373175476254
EFA_00091	101.107986580542	0.239640640489198	0.203431901562825	1.17798948271243	0.238800799131819	0.363326494068602
EFA_00092	136.625630089746	0.774777697185281	0.205504000355139	3.77013438106489	0.000163159670225384	0.000576176400021006
